Traceback (most recent call last):
  File "demo_detectron2_deepsort.py", line 6, in <module>
    import cv2
ModuleNotFoundError: No module named 'cv2'
[5m[31mWARNING[0m [32m[06/11 23:29:32 d2.config.compat]: [0mConfig 'detectron2/configs/COCO-InstanceSegmentation/mask_rcnn_R_101_FPN_3x.yaml' has no VERSION. Assuming it to be compatible with latest v2.
Loading weights from deep_sort/deep/checkpoint/ckpt.t7... Done!
time: 4.921844959259033s, fps: 0.20317584326153715
time: 4.999571084976196s, fps: 0.2000171580728232
time: 5.583387136459351s, fps: 0.17910275170962622
time: 5.0800604820251465s, fps: 0.19684805004552897
time: 4.853037118911743s, fps: 0.20605653233170457
time: 4.859642267227173s, fps: 0.2057764635771395
time: 4.8565168380737305s, fps: 0.2059088917720372
time: 4.824901342391968s, fps: 0.20725812385300407
time: 4.674220323562622s, fps: 0.2139394232143971
time: 4.7142767906188965s, fps: 0.21212161364600712
time: 4.86773681640625s, fps: 0.20543427833435732
time: 4.704468727111816s, fps: 0.21256385322257704
time: 4.998934507369995s, fps: 0.20004262878933238
time: 5.031198740005493s, fps: 0.19875978900386435
time: 4.950033903121948s, fps: 0.2020188183699727
time: 4.727944850921631s, fps: 0.21150838927511334
time: 4.7626495361328125s, fps: 0.20996716059271125
time: 4.713633060455322s, fps: 0.21215058261310715
time: 4.649073362350464s, fps: 0.21509662723292092
time: 4.822706699371338s, fps: 0.20735243968503303
time: 4.7589333057403564s, fps: 0.21013112303838602
time: 4.754032611846924s, fps: 0.21034773667896733
time: 4.863570928573608s, fps: 0.20561024290300228
time: 4.945449113845825s, fps: 0.2022061044365596
time: 4.742607116699219s, fps: 0.2108544889748288
time: 5.158715009689331s, fps: 0.19384672309320342
time: 5.264276504516602s, fps: 0.18995962676771025
time: 5.402906179428101s, fps: 0.18508557557552302
time: 4.925451040267944s, fps: 0.20302709169668248
time: 5.115330457687378s, fps: 0.19549079150833518
time: 4.919747352600098s, fps: 0.20326247027126254
time: 4.833005666732788s, fps: 0.2069105788315826
time: 4.882111549377441s, fps: 0.2048294042211138
time: 4.784028768539429s, fps: 0.2090288433414462
time: 4.944432497024536s, fps: 0.2022476797087999
time: 4.822566986083984s, fps: 0.20735844683663357
time: 4.656885147094727s, fps: 0.21473580911134693
time: 4.790422201156616s, fps: 0.20874986754999517
time: 4.957588195800781s, fps: 0.2017109853632112
time: 5.0213940143585205s, fps: 0.19914788545581785
time: 5.3342390060424805s, fps: 0.18746816534977664
time: 4.727491617202759s, fps: 0.21152866699141748
time: 4.928401708602905s, fps: 0.2029055379666846
time: 4.582196235656738s, fps: 0.21823596122279038
time: 5.275808095932007s, fps: 0.18954442273422822
time: 5.024527311325073s, fps: 0.19902369676567228
time: 4.736351728439331s, fps: 0.21113296843972115
time: 4.848844766616821s, fps: 0.2062346905565568
time: 4.688849210739136s, fps: 0.2132719469224226
time: 4.8263280391693115s, fps: 0.20719685688254957
time: 4.850851058959961s, fps: 0.20614939272417146
time: 5.1057517528533936s, fps: 0.1958575442766369
time: 5.0235114097595215s, fps: 0.19906394520319615
time: 4.68928337097168s, fps: 0.21325220100588357
time: 4.7420430183410645s, fps: 0.2108795715543373
time: 4.8484601974487305s, fps: 0.20625104863729768
time: 4.726411819458008s, fps: 0.21157699290678253
time: 5.224170207977295s, fps: 0.19141795925274457
time: 5.136810064315796s, fps: 0.1946733454185436
time: 4.65755558013916s, fps: 0.2147048989096812
time: 4.982349157333374s, fps: 0.20070853495446606
time: 4.870667219161987s, fps: 0.20531068024229604
time: 4.904078245162964s, fps: 0.20391191779746362
time: 5.355780601501465s, fps: 0.186714145781038
time: 5.180867433547974s, fps: 0.19301787062232892
time: 5.4395458698272705s, fps: 0.18383887624643827
time: 4.856429100036621s, fps: 0.20591261179792766
time: 4.822995662689209s, fps: 0.20734001644165265
time: 4.830629348754883s, fps: 0.20701236377362603
time: 4.907177925109863s, fps: 0.20378311429936824
time: 5.259054660797119s, fps: 0.19014824231707628
time: 4.87168288230896s, fps: 0.20526787645218086
